Sem dados,Saturadas ou Defeituosas,Sombras projetadas,Sombra de Nuvens,Vegetação,Não vegetado,Água,Não classificado,Nuvem média de probabilidade,Nuvem alta de probabilidade,Cirrus fino,Neve
73.159,0.0,0.003,0.466,13.128,9.322,0.001,0.668,2.078,1.171,0.004,0.0
0.07,0.0,0.006,0.686,67.428,19.804,0.434,0.107,0.421,0.108,10.936,0.0
9.164,0.0,0.0,0.495,2.452,2.663,0.001,0.715,7.755,76.744,0.01,0.0
89.502,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.601,0.162,9.733,0.0
70.721,0.0,0.0,0.335,10.507,10.261,0.001,0.784,2.451,4.941,0.0,0.0
