Sem dados,Saturadas ou Defeituosas,Sombras projetadas,Sombra de Nuvens,Vegetação,Não vegetado,Água,Não classificado,Nuvem média de probabilidade,Nuvem alta de probabilidade,Cirrus fino,Neve
0.0,0.0,0.002,10.84,40.452,0.859,0.152,0.817,16.787,15.806,14.284,0.0
0.0,0.0,0.002,0.509,7.272,24.374,0.597,3.028,15.58,22.377,26.261,0.0
0.0,0.0,0.001,0.977,21.604,1.053,0.15,1.905,23.028,32.267,19.015,0.0
0.0,0.0,0.0,0.19,0.0,0.0,0.004,2.994,59.265,10.828,26.721,0.0
0.0,0.0,0.001,15.061,27.184,0.558,0.583,1.341,18.583,26.404,10.286,0.0
