Sem dados,Saturadas ou Defeituosas,Sombras projetadas,Sombra de Nuvens,Vegetação,Não vegetado,Água,Não classificado,Nuvem média de probabilidade,Nuvem alta de probabilidade,Cirrus fino,Neve
0.0,0.0,0.001,0.011,67.877,31.944,0.036,0.085,0.026,0.019,0.003,0.0
0.0,0.0,0.0,1.404,37.781,2.619,0.003,0.18,17.347,3.448,37.219,0.0
0.0,0.0,0.0,1.512,20.617,6.223,0.017,5.826,22.43,34.68,8.696,0.0
0.0,0.0,0.029,0.143,97.827,1.726,0.122,0.046,0.073,0.021,0.013,0.0
0.0,0.0,0.001,8.215,54.767,14.443,0.029,0.532,8.692,7.083,6.238,0.0
