Sem dados,Saturadas ou Defeituosas,Sombras projetadas,Sombra de Nuvens,Vegetação,Não vegetado,Água,Não classificado,Nuvem média de probabilidade,Nuvem alta de probabilidade,Cirrus fino,Neve
0.0,0.0,0.003,14.519,34.497,0.69,8.202,0.874,17.654,23.56,0.001,0.0
57.286,0.0,0.001,3.403,7.604,1.649,3.215,0.806,7.002,19.034,0.0,0.0
0.0,0.0,0.0,2.353,2.19,0.261,0.541,2.1,13.54,77.773,1.242,0.0
26.01,0.0,0.001,10.367,30.289,3.173,1.262,1.076,15.514,12.308,0.0,0.0
35.416,0.0,0.004,4.023,28.795,5.585,6.366,0.863,8.031,10.546,0.371,0.0
