TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
198606,24.497,23.222,1.129,25.735,2.028,134.146,412.039,2.802,98.954,7.944,0.856
198607,23.867,22.657,1.2,25.077,1.928,130.741,410.053,2.881,99.182,6.32,1.072
198608,24.953,23.642,1.132,26.238,2.146,159.935,414.686,3.058,98.847,6.204,0.808
198609,24.626,23.446,1.132,25.712,2.047,151.374,416.214,2.78,98.899,12.707,0.944
198610,25.065,23.737,1.066,26.286,2.032,157.687,417.491,3.052,98.776,9.242,1.054
198611,25.539,24.246,1.001,26.728,2.078,168.443,418.512,3.556,98.575,7.934,1.125
198612,25.485,24.41,0.839,26.46,1.841,159.912,417.764,3.289,98.687,9.81,1.07
198701,25.113,24.118,0.912,25.977,1.745,141.351,420.928,2.884,98.718,11.208,0.96
198702,25.128,24.097,0.815,26.077,1.697,142.045,422.783,2.878,98.722,13.785,0.931
198703,26.155,24.863,1.145,27.363,2.066,170.148,422.612,4.267,98.591,7.854,1.126
198704,25.632,24.668,0.999,26.52,1.861,140.472,423.547,3.169,98.715,11.946,1.058
198705,25.354,24.177,1.05,26.437,2.127,144.439,418.41,3.483,98.774,6.654,1.087
198706,24.762,23.646,1.047,25.838,1.994,133.588,415.038,3.209,99.004,6.358,1.116
198707,25.229,23.967,1.07,26.491,2.161,145.799,417.175,3.14,98.832,5.901,0.863
198708,24.972,23.68,1.174,26.236,2.355,158.901,415.673,3.242,98.891,5.658,0.986
198709,25.772,24.46,1.203,26.98,2.389,166.914,419.622,3.675,98.819,8.191,0.901
198710,26.113,24.811,1.038,27.31,2.295,171.419,421.29,3.938,98.638,7.837,0.984
198711,25.687,24.463,0.846,26.814,1.928,162.717,422.666,3.198,98.6,9.458,0.908
198712,25.752,24.583,0.868,26.813,1.856,154.969,423.032,3.556,98.659,10.354,1.049
198801,25.985,24.866,1.06,26.949,2.071,157.894,421.049,4.215,98.675,7.761,1.15
198802,25.826,24.628,1.094,26.929,2.153,160.192,423.726,3.639,98.578,11.509,0.968
198803,26.319,25.055,1.058,27.497,2.192,172.836,423.234,4.484,98.657,7.241,1.036
198804,25.872,24.76,1.023,26.895,2.155,145.558,423.94,3.824,98.696,7.963,1.107
198805,25.128,24.128,0.934,26.048,1.92,120.466,420.888,2.638,98.866,11.333,0.933
198806,24.241,23.217,1.02,25.243,1.97,126.915,413.524,2.868,99.001,6.608,1.068
198807,24.299,23.083,1.325,25.515,2.232,149.445,404.711,3.557,99.105,4.804,1.107
198808,25.447,24.022,1.207,26.837,2.596,169.375,413.445,3.626,98.862,3.831,0.915
198809,25.494,24.184,1.156,26.699,2.362,174.475,416.511,3.535,98.808,6.612,0.914
198810,25.891,24.577,1.114,27.099,2.269,176.067,418.483,3.942,98.595,7.337,1.021
198811,25.357,24.125,0.95,26.491,1.945,156.229,419.581,3.151,98.666,9.428,0.998
198812,25.564,24.219,1.001,26.787,2.201,167.335,414.761,4.015,98.602,7.927,1.225
198901,24.875,23.722,1.013,25.878,2.024,148.403,415.659,3.12,98.693,10.472,1.058
198902,25.205,24.014,1.087,26.299,2.106,157.844,416.475,3.669,98.74,10.825,1.175
198903,25.17,23.962,1.043,26.299,2.114,153.396,418.166,3.302,98.672,10.519,1.014
198904,25.122,23.971,0.952,26.18,2.043,138.391,419.094,3.054,98.695,10.256,0.953
198905,24.636,23.612,1.001,25.577,1.837,120.594,416.138,2.688,98.938,9.17,1.088
198906,24.408,23.425,0.92,25.361,1.821,123.91,415.455,2.237,98.966,8.621,0.913
198907,24.015,22.787,1.291,25.243,2.192,146.721,405.132,3.288,99.086,5.241,1.191
198908,24.92,23.656,1.228,26.154,2.286,146.424,414.664,3.058,98.912,7.25,0.876
198909,25.613,24.231,1.2,26.884,2.457,180.8,414.867,3.891,98.734,6.551,0.943
198910,25.165,23.95,0.922,26.284,2.009,165.295,418.682,2.999,98.769,9.365,0.94
198911,25.924,24.584,0.97,27.157,2.124,166.092,420.885,3.702,98.539,9.87,1.128
198912,26.854,25.295,1.091,28.267,2.505,192.842,416.341,6.183,98.574,3.22,1.721
199001,25.232,24.093,0.804,26.217,1.924,156.647,420.085,2.933,98.611,12.881,0.993
199002,25.747,24.517,0.912,26.879,2.022,168.825,419.591,3.838,98.692,8.895,1.046
