TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19810306,26.023,24.813,0.735,27.137,1.732,147.319,425.981,3.518,98.513,4.97,0.987
19810307,25.862,24.58,0.498,27.041,1.865,157.771,427.111,3.407,98.516,5.678,0.983
19810308,26.215,24.799,0.925,27.517,2.194,133.388,426.306,3.169,98.626,6.147,0.761
19810309,25.667,24.638,0.208,26.614,1.32,170.661,425.729,2.91,98.689,15.012,0.86
19810310,24.787,24.106,0.474,25.414,1.457,111.139,426.334,1.688,98.738,13.006,1.071
19810311,25.042,23.977,0.611,26.021,1.634,164.328,426.381,2.415,98.747,9.182,0.85
19810312,25.119,24.241,0.65,25.927,1.241,122.586,425.369,1.393,98.737,10.956,0.916
19810313,25.963,24.537,1.241,27.276,2.203,186.29,420.692,4.4,98.699,2.367,1.266
19810314,26.964,25.646,1.575,28.177,2.184,212.923,419.811,5.58,98.566,0.684,1.42
19810315,27.03,25.74,0.714,28.216,1.932,208.122,420.837,5.598,98.496,0.419,1.61
19810316,27.459,25.725,0.779,29.055,2.152,231.722,419.16,5.848,98.445,4.176,1.633
19810317,26.246,25.055,0.58,27.341,1.462,182.227,420.297,3.088,98.414,13.873,1.278
19810318,24.822,24.485,0.818,25.131,0.897,90.921,424.218,1.633,98.567,13.14,1.027
19810319,25.755,24.615,0.774,26.804,1.799,143.676,420.138,3.068,98.502,1.955,0.927
19810320,27.026,25.12,1.003,28.781,3.108,220.498,424.564,5.898,98.424,4.25,1.235
19810321,26.021,25.559,0.908,26.446,1.164,149.529,424.561,2.477,98.577,8.046,1.115
19810322,24.993,24.957,0.499,25.03,0.63,99.289,420.638,2.234,98.706,8.917,1.254
19810323,26.652,25.119,1.367,28.184,2.693,187.537,420.281,5.317,98.593,1.188,1.161
19810324,27.67,26.273,1.766,29.066,2.687,227.331,417.858,7.388,98.544,0.73,1.852
19810325,25.445,25.74,1.182,25.149,1.075,120.782,420.809,3.344,98.726,6.027,1.632
19810326,26.138,24.625,0.448,27.651,2.313,209.355,418.07,4.722,98.828,6.357,1.053
19810327,26.241,24.83,1.447,27.539,2.814,189.48,413.071,5.147,98.807,1.176,1.062
19810328,25.962,24.555,0.871,27.256,2.722,160.519,413.408,4.653,98.646,13.084,1.02
19810329,26.57,24.954,1.353,28.056,2.533,167.406,423.197,4.492,98.584,5.179,0.986
19810330,25.738,24.627,0.655,26.76,2.096,128.179,425.442,2.586,98.694,8.729,1.416
19810331,24.791,24.08,0.786,25.445,1.757,123.388,424.373,2.443,98.882,7.667,0.972
19810401,25.866,24.346,0.961,27.264,2.779,163.058,421.078,4.105,98.766,2.791,1.046
19810402,25.957,24.675,1.558,27.137,2.559,145.937,420.177,4.171,98.628,6.591,0.765
19810403,26.212,24.683,0.843,27.619,2.512,177.273,417.586,4.655,98.555,5.22,1.045
19810404,26.102,24.416,0.566,27.653,2.358,186.345,415.446,4.5,98.607,1.045,1.084
19810405,25.123,23.976,0.589,26.177,1.312,142.879,419.493,2.205,98.689,19.352,0.891
19810406,24.143,23.576,1.031,24.664,1.186,129.815,420.274,1.476,98.678,12.922,0.805
19810407,25.527,24.354,0.979,26.606,1.821,171.975,421.435,2.972,98.601,17.432,0.737
19810408,25.044,24.293,0.908,25.736,1.211,129.672,418.227,1.666,98.645,18.885,0.762
19810409,25.305,24.1,0.421,26.413,1.692,155.138,424.351,2.85,98.613,4.508,0.445
