Nuvem,Sombra de Nuvem,Nuvem Semi-Transparente,Terra Sem Nuvem,Sem Observação
29.855,10.623,17.059,42.447,0.016
42.832,0.129,54.084,2.949,0.007
70.683,0.393,21.201,7.715,0.008
76.983,0.0,22.958,0.052,0.006
37.149,12.384,16.298,34.154,0.014
