Nuvem,Sombra de Nuvem,Nuvem Semi-Transparente,Terra Sem Nuvem,Sem Observação
3.292,0.388,9.435,77.677,9.209
2.891,0.049,14.782,16.071,66.208
0.314,0.0,68.651,31.019,0.016
10.765,0.197,4.456,5.394,79.187
2.395,0.149,14.441,3.584,79.431
